cultural group,context,goal,relation,actor,actor_behavior,recipient,recipient_behavior,other_descriptions,topic,agreement,num_support_bin,time_range,eval_whole_desc,eval_scenario,eval_persona,eval_question
British,tea consumption,,,people,"prefer black tea with lemon or preserves, and occasionally add milk, sugar, or honey",,,specific preferences for Red Rose tea over Earl Grey,Food and Dining,0.8,"[5, 20)","{2022: '[0, 10)'}","In the context of tea consumption within the British cultural group, it is customary for people to have specific preferences when preparing their tea. They often favor black tea with lemon or preserves, and may occasionally add milk, sugar, or honey to enhance the flavor. Notably, there are particular inclinations towards Red Rose tea over Earl Grey, reflecting the nuanced preferences within this cultural practice. This behavior is widely regarded as normative by a significant portion of the sampled population, indicating a strong adherence to these tea consumption habits among the British cultural group.",Travel Advising,"An American food enthusiast planning a trip to Britain, eager to immerse themselves in the local culinary scene","I'm planning a food tour in Britain and I've heard that tea is a staple there. I'm a big fan of herbal teas, but I'm not sure if that's something I'd be able to find easily. Could you give me some tips on what kind of tea I should try and where to find the best ones? Also, is it common to add anything to the tea?"
British,shopping experiences,,,people,"prefer shopping in specific centers, stores, and supermarkets, with a mix of high-end and discount options",,,,Consumer Behavior,1,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","In British shopping experiences, it is common for people to prefer specific centers, stores, and supermarkets that offer a combination of high-end and discount options. This preference for particular shopping locations is widely regarded as the norm within the sampled population.",Travel Advising,"A savvy American traveler planning a trip to London, known for their keen eye for value and variety in shopping experiences","I'm heading to London for the first time and I've heard it's a city that's big on shopping. I'm looking for places where I can find a good mix of high-end and discount items, especially when it comes to food and home goods. I want to experience the local lifestyle, but I'm also on a budget. Any recommendations for neighborhoods or specific stores that cater to this kind of shopping style?"
British,in the UK and Europe,,,people,"refer to and associate yellow with specific objects and phenomena, including the sun, yellow cards, and certain foods",,,,Cultural Traditions and Festivals,1,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In the UK and Europe, people commonly refer to and associate the color yellow with specific objects and phenomena, such as the sun, yellow cards in sports, and certain foods. This cultural association with the color yellow is widely regarded as a normative behavior among the sampled population.",Travel Advising,"A soccer enthusiast from the United States planning a trip to Europe to attend a series of international matches, eager to fully immerse themselves in the local sports culture","I'm putting together my itinerary for this summer's soccer tour in Europe, and I've noticed that there's a lot of yellow-themed merchandise associated with the teams. I'm a big fan of collecting souvenirs, but I don't want to end up with something that's not really representative of the local culture. Can you suggest any particular yellow items or experiences that would really capture the essence of the European soccer spirit?"
British,in the United Kingdom and its media,,,people and the BBC,"engage with media that includes international news coverage, occasional negative portrayals, and diverse realities",,,,Cultural and Environmental Appreciation,0.8,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In the United Kingdom and its media, it is common for both the people and the BBC to engage with diverse international news coverage, occasionally featuring negative portrayals and presenting a range of realities. This behavior is widely regarded as a normative practice within the sampled population. The British cultural group, as depicted by this behavior, demonstrates a high level of interest and openness towards understanding global events and perspectives, encompassing both positive and negative aspects. This engagement with international news and diverse realities is considered a standard practice by a significant portion of the sampled population, reflecting a prevalent cultural inclination towards staying informed about a wide range of global issues.",Travel Advising,"A globally-minded British journalist preparing for a research trip to a conflict-ridden region, aiming to gather firsthand accounts for a documentary","I'm planning a trip to a place where the media often portrays a complex mix of situations, and I'd like to get a better understanding of the realities on the ground. How can I best navigate the local perspectives and avoid being swayed by the media's portrayals?"
British,"in the UK, particularly in England",to make payments and manage finances,customer to service staff or businesses,customers,"preference for mobile payments and specific payment methods, including card payments and splitting bills",service staff and businesses,facilitate payments and provide information on payment processes,,Consumer Behavior,1,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","In the UK, particularly in England, it is common for customers to exhibit a strong preference for mobile payments and specific payment methods such as card payments and splitting bills when interacting with service staff and businesses. The goal of this behavior is to efficiently make payments and manage finances. In response, service staff and businesses facilitate these payment preferences and provide information on payment processes. This cultural norm is widely regarded as the standard practice among a significant portion of the sampled population in the UK, reflecting the prevalent use of modern payment methods and the emphasis on convenience and financial management in British society.",Travel Advising,"An American tourist planning a trip to England for the first time, who is accustomed to using cash for most transactions but has heard about the convenience of mobile payments in the UK","I'm gearing up for my first visit to England, and I've heard that folks over there are quite fond of their mobile payments. I usually carry cash for most of my spending, but I'm a bit worried that I might stick out like a sore thumb. What's the best way to navigate the local payment culture without causing any inconvenience?"
British,in school settings,to finish food and maintain cleanliness,student to teacher and student to cleaner,students,"engage in mealtime activities, including eating packed lunches and purchasing food, while considering the work schedules of cleaners",teachers and cleaners,,,Food and Dining,1,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","In British school settings, students are commonly observed engaging in mealtime activities such as eating packed lunches and purchasing food, while being mindful of the work schedules of both teachers and cleaners. The goal of these mealtime activities is to finish their food while also maintaining cleanliness, showing consideration for the school environment and the individuals responsible for its upkeep. This behavior is widely regarded as the norm among the sampled population, reflecting a strong cultural emphasis on respect and responsibility within the school community.",Travel Advising,"A first-time traveler to the UK, hailing from a culture where communal dining is the norm, particularly during school hours. They are intrigued by the British school system and eager to understand how to navigate the food culture within schools to ensure a smooth and respectful experience.","I'm planning a trip to the UK for a school exchange program, and I'm really curious about the food culture in schools there. I've heard that students have their own meals during school hours. Could you give me some tips on what to expect and how to be a respectful guest in this new environment? I want to make sure I'm not causing any inconvenience to the school staff or the other students."
British,in various social and weather-related situations,"to cool down, cope with situations, or express feelings",speaker to listener or audience,speaker,"engage in tea-related activities, including making, drinking, and using tea to cope with problems",listener or audience,,tea is often associated with comfort and coping in British culture,Cultural Traditions and Festivals,0.8,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)'}","In various social and weather-related situations within British culture, it is common for speakers to engage in tea-related activities, such as making, drinking, and using tea as a means to cool down, cope with challenges, or express emotions. Tea holds a significant role in British culture, often associated with comfort and coping. It is widely regarded as a normative behavior, with around four-fifths of the sampled population acknowledging and participating in these tea-related activities as a way to navigate through different situations. This cultural practice reflects the importance of tea as a coping mechanism and a symbol of comfort within British society.",Travel Advising,"A first-time visitor to the UK, particularly interested in understanding local customs and social etiquette","I've noticed that a lot of people here seem to drink tea quite frequently, especially in different settings. I'm curious, is there a specific reason or occasion when it's considered more appropriate to have tea, or is it just a common drink to enjoy anytime? I want to make sure I'm not missing out on any local traditions or misunderstanding any social cues."
British,,,,people,"express mixed opinions about food, with some praising it while others criticize it as unhealthy or lacking in variety",,,,Cultural and Environmental Appreciation,0.4,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)'}","In British culture, people hold diverse opinions about food, with some individuals praising it while others criticize it for being unhealthy or lacking variety. This mixed perception of food reflects a range of attitudes towards culinary traditions and dietary habits within the cultural group. The sampled population demonstrates a significant level of divergence in their views on food, with a substantial portion expressing contrasting opinions. This indicates that the cultural norm regarding food is highly controversial and lacks a unified consensus among the sampled population.",Travel Advising,"A health-conscious American foodie planning a culinary tour of Britain, eager to explore the local cuisine but worried about maintaining a balanced diet","I'm planning a food tour through Britain, and I've heard such mixed reviews about the local cuisine. Some people rave about it, but others say it's not the healthiest. I'm a bit concerned about keeping up with my dietary habits while still enjoying the local flavors. What are some ways I can balance my health and culinary exploration during my trip?"
British,"in the UK, particularly in Liverpool",,,people,"shop at Tk Maxx, a popular retailer",,,Tk Maxx is a common alternative to TJ Hughes,Consumer Behavior,0.8,"[5, 20)","{2022: '[0, 10)'}","In the UK, particularly in Liverpool, it is common for people to shop at Tk Maxx, a popular retailer that serves as a frequent alternative to TJ Hughes. This shopping behavior at Tk Maxx is widely regarded as a normative practice among a significant portion of the sampled population.",Travel Advising,"A savvy shopper from the US planning a trip to Liverpool, eager to explore the local shopping scene",I'm gearing up for a trip to Liverpool and I'm a big fan of scoring great deals on quality items. I've heard that there are some popular shopping spots there. Could you recommend some places that locals love to go for a good bargain? I'd love to experience the shopping culture like a local.
British,in conversations and online interactions,"to cheer up, express support, and engage in friendly banter",friendly,people,"use humor, sarcasm, and encouraging words, often incorporating British slang and colloquialisms","various, including those in need of cheering up, haters, and conversation partners",,,Social Interactions,1,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","In conversations and online interactions within the British cultural group, people commonly employ humor, sarcasm, and encouraging words, often incorporating British slang and colloquialisms. This behavior is aimed at cheering up others, expressing support, and engaging in friendly banter with various individuals, including those in need of cheering up, haters, and conversation partners. This use of humor and encouragement, along with the incorporation of British slang, is widely regarded as a normative and standard way of interaction within the sampled population.",Workplace Integration,"A newly immigrated American software engineer working in a tech company in London, keen on building strong professional relationships with their British colleagues","I've recently started working in a British tech firm, and I've noticed that my colleagues have a unique way of communicating. They often use humor and slang in our daily meetings, and it seems like they're trying to cheer each other up or create a light-hearted atmosphere. I'm curious about how to effectively join in on these conversations without feeling out of place. What are some strategies I can use to engage with my colleagues in a way that feels natural and respectful?"
British,social interactions,to build relationships and express affection,friendship or familiarity,people,"engage in banter, a form of playful teasing and mocking, as a way to build rapport and express affection",friends or acquaintances,reciprocate with jokes or be polite,,Social Norms and Etiquette,0.8,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","In British social interactions, it is common for people to engage in banter, a form of playful teasing and mocking, as a means to foster camaraderie and demonstrate affection within friendships or familiar relationships. The goal of this behavior is to build rapport and express fondness for one another. In response, the recipients typically reciprocate with their own jokes or exhibit politeness. This banter is widely regarded as a normative and accepted way of interaction within the sampled population, reflecting the prevalent use of humor and light-hearted teasing as a means of bonding and expressing affection among friends and acquaintances in British culture.",Travel Advising,"A globetrotting American businessperson planning a trip to London for a high-stakes meeting with a potential British client, eager to build a strong rapport and avoid misunderstandings in their interactions",I'm heading to London for a big meeting with a potential client and I've heard that people there are really friendly and love a good laugh. I want to make sure I fit in and show them I'm a good sport. Any tips on how I can join in on their sense of humor without stepping on any toes?
British,in the United Kingdom,,,"people, including parents and London","engage in birth-related activities, including having babies, giving birth, and obtaining birth certificates",,,includes the use of the phrase 'born in the UK' and the mention of age in birth contexts,Family Traditions and Heritage,1,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In the United Kingdom, particularly among the British population, individuals, including parents, and the city of London, engage in various birth-related activities such as having babies, giving birth, and obtaining birth certificates. This cultural practice is deeply ingrained in the society, with the use of the phrase ""born in the UK"" and the mention of age in birth contexts being common. The act of participating in birth-related activities is considered a standard and widely accepted behavior, with a unanimous consensus among the sampled population.",Travel Advising,"A prospective American expat planning a move to London with their family, keen on understanding the city's cultural nuances and preparing for their new life",I'm planning to move my family to London for a few years and I've heard that it's quite a family-friendly city. We're expecting a new addition to our family soon. Could you tell me about the local practices around welcoming new family members? How do people usually go about the process and what should we keep in mind to make sure we're fitting in with the community?
British,in the UK,,,people,"prioritize privacy and personal space, including the use of full-sized doors and avoiding looking over stalls",,,unique door design,Social Norms and Etiquette,1,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In the UK, it is customary for people to prioritize privacy and personal space, which is reflected in their unique door design featuring full-sized doors. Additionally, individuals tend to respect personal boundaries by avoiding looking over stalls in public restrooms. This emphasis on privacy and personal space is widely regarded as a normative behavior within the sampled population. The use of full-sized doors and the avoidance of looking over stalls are considered standard practices, reflecting the cultural value placed on respecting individual privacy.",Travel Advising,"A curious and respectful American tourist planning a trip to the UK, eager to blend in and avoid any cultural faux pas",I'm planning a trip to the UK and I'm trying to be as respectful as possible. I've heard that people in the UK really value their personal space. I'm a bit worried about accidentally invading someone's privacy without realizing it. Could you give me some tips on how to navigate public spaces like restrooms or even just walking down the street without accidentally stepping on anyone's toes? I want to make sure I'm being as considerate as possible.
British,"in the UK, particularly in England",,,people,"preference for using disposable plates and utensils, including paper and plastic, despite a preference for China plates",,,,Social Norms and Etiquette,0.4,"[5, 20)","{2023: '[0, 10)'}","In the UK, particularly in England, it is observed that a significant portion of the sampled population prefers using disposable plates and utensils, such as paper and plastic, despite having a preference for China plates. This behavior of favoring disposable items over traditional China plates is considered somewhat controversial among the sampled population. It reflects a departure from the traditional use of China plates and may indicate a shift in convenience and practicality over formal dining customs. This preference for disposable items is not universally embraced, as it is perceived as somewhat unusual or contentious within the cultural context.",Travel Advising,"A meticulous American event planner preparing for a large-scale, eco-friendly wedding in England, aiming to respect local customs while minimizing waste","I'm organizing a big, green wedding in England and I really want to be mindful of local traditions while keeping things sustainable. I've heard that some people here use disposable plates and utensils for their events. Is there a way to balance sustainability with respecting local customs? How can I make sure my event is both eco-friendly and in line with what people might expect here?"
British,in homes,stay cool and regulate temperature,homeowner to household,people and homeowners,"use various methods to regulate temperature, including air conditioning, keeping curtains closed, taking cool baths/showers, and using window openings for ventilation",household and antechamber,,use of vestibules or antechambers and double glazed front doors for temperature control,Environmental Adaptation and Sustainability,1,"[5, 20)","{2021: '[0, 10)', 2023: '[0, 10)'}","In British homes, people and homeowners employ various methods to regulate temperature, such as using air conditioning, keeping curtains closed, taking cool baths/showers, and utilizing window openings for ventilation. The goal of these actions is to stay cool and maintain a comfortable temperature within the household. Additionally, the use of vestibules or antechambers, along with double glazed front doors, is common for temperature control. This approach to regulating temperature is widely regarded as the standard practice among the sampled population, reflecting a high level of normativity within British homes.",Travel Advising,"A first-time traveler to the UK, hailing from a warm climate, who is concerned about adjusting to the local weather and housing conditions","I'm planning my first trip to the UK and I've heard the weather can be quite different from home. I'm used to hot temperatures and open windows, but I'm worried about staying comfortable in a British home. Could you give me some tips on what to expect and how to prepare for the local housing and temperature control?"
British,"across the UK, particularly in rural areas",,,people,"prefer and seek out rural life, characterized by strong community ties, scenic landscapes, and a slower pace",,,,Lifestyles,1,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","Across the UK, particularly in rural areas, it is common for people to prefer and actively seek out a rural lifestyle. This lifestyle is characterized by strong community ties, picturesque landscapes, and a slower pace of living. The sampled population widely regards this preference for rural life as a normative behavior within British culture. This inclination towards rural living reflects a deep appreciation for the sense of community and the natural beauty of the countryside.",Travel Advising,"A city-dwelling American tourist planning a trip to the English countryside for a photography retreat, eager to capture the essence of rural life and its scenic landscapes","I'm planning a photography retreat in the English countryside, and I'm really looking forward to capturing the essence of rural life. I've heard so much about the strong community ties and picturesque landscapes. As a city dweller, I'm curious about what I should do to fully appreciate and immerse myself in this slower pace of living. Any tips on how to connect with the locals and really get a feel for the community spirit?"
British,in Britain and the UK,,,people and the United Kingdom,"engage in learning and teaching history, with a focus on the country's rich past and significant historical events like WWII and the Battle of Hastings",,,"Britain's history is considered long and complex, with numerous attempts to overtake counties",Education and Technology,1,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)'}","In Britain and the UK, people and the United Kingdom as a whole actively engage in learning and teaching history, with a particular emphasis on the country's rich and complex past. Significant historical events such as World War II and the Battle of Hastings hold particular importance in this historical narrative. The long and intricate history of Britain, including numerous attempts to conquer other counties, contributes to the depth of this cultural focus. This emphasis on history is widely regarded as a normative and common behavior within the sampled population, reflecting the significance placed on understanding and preserving the country's historical legacy.",Travel Advising,"A curious and history-loving American tourist planning a trip to the UK, eager to delve into the local culture and understand the historical context of the places they visit",I'm planning a trip to the UK and I'm really excited to learn more about the country's rich history. I've heard that there are so many historical events that have shaped the UK's identity. Could you recommend some unique ways for me to engage with the local culture and learn more about the country's past? I'm particularly interested in understanding how these historical events have influenced everyday life in the UK.
British,bathing,get clean,,people,"use Dettol for cleaning and disinfection, diluting it to avoid strong smell",,,associated with a white cloudy color when mixed with water,Health and Hygiene,1,"[5, 20)","{2021: '[0, 10)'}","In the context of bathing within the British cultural group, it is common for people to use Dettol for cleaning and disinfection, often diluting it to mitigate the strong smell. The goal of this behavior is to achieve cleanliness, and it is widely regarded as a normative practice within the sampled population. When mixed with water, Dettol is associated with a white cloudy color, adding to its recognizable presence in the bathing routine. This practice is considered a standard and widely accepted approach to maintaining hygiene within the British cultural context.",Travel Advising,"A first-time traveler from the United States planning a trip to the UK, particularly concerned about hygiene and cleanliness due to their personal preferences and habits","I'm gearing up for my first visit to the UK, and I've heard that the hygiene standards are quite high over there. I'm a bit of a cleanliness fanatic myself, and I'm wondering if there's anything I should know or pack to make sure I'm not caught off guard by any local practices. Any tips on how to keep up with the local standards and maintain my usual level of cleanliness?"
British,shopping and grocery,,,people,"use colloquial terms like 'B&M', 'Primark', 'grocery WHAT', and 'the shop' to refer to various types of stores and grocery shopping",,,prefer using specific store names over generic terms like 'grocery store',Communication and Language,1,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","When it comes to shopping and grocery activities, people in the British cultural group commonly use colloquial terms such as 'B&M', 'Primark', 'grocery WHAT', and 'the shop' to refer to different types of stores and grocery shopping. They have a preference for using specific store names over generic terms like 'grocery store'. This behavior is widely regarded as the norm within the sampled population, indicating that a significant portion of the cultural group engages in this practice.",Travel Advising,"A savvy American traveler planning a trip to London, eager to blend in with the locals and navigate the city's shopping scene with ease.","I'm gearing up for my first trip to London, and I've heard the shopping is fantastic. I'm trying to be a bit more local in my approach. Could you give me some tips on where to find the best deals on everyday items like groceries, and maybe some insider lingo I should know when asking around? I want to make sure I'm not missing out on any hidden gems or sounding like a tourist."
British,late night dining and socializing,obtain and enjoy food,customer to vendor or service staff,people,seek out and enjoy kebabs as a popular post-club food option,food vendors and service staff,provide food,often involves visiting kebab shops in back alleys of pubs or while waiting for taxis,Food and Dining,1,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)'}","In the context of late-night dining and socializing in British culture, it is customary for people to seek out and enjoy kebabs as a popular post-club food option. The goal of this behavior is to obtain and savor food, and the recipients of this action are the food vendors and service staff who provide the kebabs. This cultural practice often involves visiting kebab shops located in the back alleys of pubs or while waiting for taxis. This behavior is widely regarded as a normative and common practice among the sampled population, reflecting the strong cultural association between late-night socializing and enjoying kebabs as a favored food choice.",Travel Advising,A food enthusiast planning a pub crawl in London,I'm planning a pub crawl in London and I've heard that the city has a great nightlife scene. I'm a big foodie and I'm curious about what kind of food I should try late at night while I'm out and about. Any recommendations for places or dishes that locals love to indulge in after a night of socializing?
British,in the UK,,,people and postal service,"use postcodes extensively for navigation, identifying houses, and mail delivery, with each postcode covering an average of 16 houses",,,,Miscellaneous,1,"[5, 20)","{2022: '[0, 10)'}","In the UK, both the people and the postal service extensively rely on postcodes for navigation, house identification, and mail delivery. With an average of 16 houses covered by each postcode, this system plays a crucial role in the organization and logistics of the country. The use of postcodes is deeply ingrained in the British culture and is considered a standard practice by a significant portion of the sampled population. This widespread utilization of postcodes reflects the high normativity of this behavior within the British cultural context.",Travel Advising,"A seasoned traveler planning a trip to the UK, eager to navigate like a local and ensure their packages reach their destination without any hiccups","I'm gearing up for a long-term stay in the UK and I've heard that addresses here are a bit different. I'll be sending some packages over, and I want to make sure they get to the right place. Could you give me some tips on how to provide the right address details, and maybe some insights on how the locals navigate their way around? I'd love to blend in and avoid any delivery mishaps."
British,in the UK,obtain fresh and unprocessed mangoes,customer to vendor,people and Costco,"prefer fresh, unprocessed mangoes and request for specific mango varieties",fruit vendors,inform about mango availability and quality,strict food regulations and concern for chemical-free produce,Food and Dining,0.8,"[5, 20)","{2023: '[0, 10)'}","In the UK, both individuals and the retail giant Costco exhibit a preference for fresh, unprocessed mangoes, often requesting specific varieties from fruit vendors. The goal is to obtain high-quality, chemical-free produce, reflecting the strict food regulations and the general concern for the quality of fresh fruits within the British cultural context. This behavior is widely regarded as the norm among a significant portion of the sampled population, indicating a strong preference for unprocessed and specific varieties of mangoes when making purchases from fruit vendors.",Travel Advising,"A discerning foodie from the US, planning a culinary tour of the UK, with a focus on sampling the finest and freshest produce","I'm really excited to taste the local fruits during my upcoming trip to the UK, especially since I've heard so much about the country's commitment to quality and freshness. I'm particularly interested in mangoes, and I'm wondering if there are any special tips or tricks to finding the best and most authentic ones. I'd love to know how the locals go about sourcing their fruits and if there are any particular vendors or markets that are known for their exceptional offerings."
British,"in the UK, particularly at Costco",save money and socialize,friendship,people,shop and dine at Costco for savings and enjoyment,friends,purchase affordable food and drinks,"Costco is perceived as a massive, popular, and affordable shopping destination",Consumer Behavior,0.8,"[5, 20)","{2023: '[0, 10)'}","In the UK, particularly at Costco, it is common for people to shop and dine at Costco as a way to save money and enjoy socializing with friends. This behavior is deeply rooted in the culture of seeking affordability and camaraderie, as individuals aim to save money while engaging in social activities. Friends often join in this experience, purchasing affordable food and drinks alongside their companions. Costco is widely perceived as a massive, popular, and budget-friendly shopping destination, further reinforcing the normativity of this behavior within the sampled population.",Travel Advising,"A budget-conscious American traveler planning a trip to the UK, keen on experiencing local lifestyle and saving money","I'm planning a trip to the UK and I've heard about this place called Costco. I'm a bit of a foodie and I love a good deal. Can you tell me more about how people typically enjoy their time there? I'm curious if it's a good place to hang out with friends and grab a bite, especially since I'm trying to stick to a budget. Are there any insider tips you could share about how to make the most of my visit?"
British,"across the UK, including the Cotswolds and Scotland",receive dental care,,people and individuals,"seek dental care, often facing challenges in access and affordability",,,"struggles with NHS access, high costs, and shortages of medical professionals",Health and Hygiene,1,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","Across the UK, including the Cotswolds and Scotland, individuals actively seek dental care despite facing challenges related to access and affordability. The goal is to receive necessary dental treatment, reflecting the importance placed on oral health within British culture. However, the population encounters difficulties in accessing dental care due to challenges with the National Health Service (NHS), high costs, and shortages of medical professionals. Despite these obstacles, seeking dental care is widely regarded as a normative behavior among the sampled population, indicating the significant emphasis placed on oral health within British society.",Travel Advising,"A budget-conscious American tourist planning a trip to the Cotswolds, known for its charming villages and beautiful landscapes, who is worried about the potential costs of healthcare during their travels","I'm planning a trip to the Cotswolds and I've heard it's a beautiful place, but I'm a bit concerned about healthcare costs. I've got some dental issues that I've been putting off, and I'd like to take care of them while I'm there. Can you give me some advice on how to navigate the healthcare system, especially when it comes to dental care, so I don't end up with a huge bill? Are there any tips you could share to help me find affordable options?"
British,driving and pedestrian interactions,to avoid trouble and show politeness,driver to pedestrian and vice versa,drivers and pedestrians,"drivers often yield to pedestrians, but can be rude; pedestrians may look right to show politeness",pedestrians and drivers,pedestrians may cross the road or smile and say hello,,Social Norms and Etiquette,0.8,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","In British driving and pedestrian interactions, it is customary for drivers to often yield to pedestrians, although they may display rudeness at times. Pedestrians, in turn, may look right as a gesture of politeness before crossing the road. This behavior aims to avoid conflict and demonstrate mutual respect. Additionally, pedestrians may express their politeness by crossing the road promptly or by smiling and greeting others. This conduct is widely regarded as the norm within the sampled population, indicating a high level of acceptance and prevalence.",Travel Advising,"A curious and safety-conscious American tourist planning a trip to London, eager to navigate the city's bustling streets with ease and respect for the local etiquette.","I'm planning a trip to London and I've heard that the streets can be quite busy with pedestrians and cars. I want to make sure I'm not causing any inconvenience or getting into any dangerous situations. Could you give me some tips on how to safely and respectfully navigate the city's streets, especially when it comes to crossing the road and interacting with drivers? I'd like to blend in with the locals and show my appreciation for their courtesy."
British,"in the UK, particularly in nightclubs",entertain and cater to diverse musical preferences,customer to DJ,DJs,"play and control music, often favoring hip hop, rap, and dancehall genres, despite mixed reactions from the crowd",people,express frustration or enjoyment,,Cultural Exchange,1,"[5, 20)","{2022: '[0, 10)'}","In the UK, particularly in nightclubs, DJs are known to play and control music, often favoring hip hop, rap, and dancehall genres, despite receiving mixed reactions from the crowd. Their goal is to entertain and cater to diverse musical preferences, leading to a range of responses from the audience, including expressions of frustration or enjoyment. This behavior is widely regarded as the norm within the sampled population, reflecting the acceptance and expectation of DJs to curate music in a way that may not always align with every individual's taste.",Travel Advising,"A first-time visitor to the UK, who is passionate about music and enjoys a wide range of genres. They're planning to experience the local nightlife and are curious about how to navigate and enjoy the music scene in the UK","I'm really excited to explore the music scene in the UK and check out some local nightclubs. I've heard that the DJs are really popular, but I'm not too fond of hip hop and rap. I want to make sure I'll have a great time and not feel out of place. What's the best way to approach this and find clubs where I can enjoy a variety of music?"
British,counting,,,people,"use unique finger counting methods, including starting with the index finger and putting up the thumb last, or omitting the use of thumbs",,,"thumb is often not used, and the index finger is considered pointy",Education and Technology,0.8,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In the context of counting within the British cultural group, it is common for people to use unique finger counting methods. This includes starting with the index finger and putting up the thumb last, or even omitting the use of thumbs altogether. The thumb is often not utilized in these counting methods, and the index finger is regarded as pointy. This distinctive approach to finger counting is widely regarded as a normative behavior within the sampled population.",Travel Advising,"A curious and detail-oriented American traveler planning a trip to the UK, eager to understand and adapt to local customs and behaviors","I've noticed that when I'm in the UK, I've had some trouble understanding how locals are keeping track of numbers when they're talking. I've seen some people use their fingers in ways that I don't quite get. Could you give me some tips on how to follow along when they're counting or giving directions? I don't want to get lost or confused because of a simple thing like this."
British,in pubs and offices,socialize,friendly and social,people,"engage in social activities like dancing, chirping 'pub?', and friendly arguments",friends and colleagues,participate in social activities,often involves alcohol and can become heated,Social Interactions,0.8,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In British pubs and offices, people engage in social activities such as dancing, playfully suggesting going to the pub, and friendly arguments with friends and colleagues. The goal of these interactions is to socialize and foster a friendly and social atmosphere. It is common for both the actors and recipients to participate in these social activities, often involving alcohol and occasionally becoming heated. This behavior is widely regarded as a normative and standard way of socializing within the British cultural context, with a significant portion of the sampled population acknowledging and participating in these social interactions.",Workplace Integration,"A new employee at a British office, hailing from a culture where socializing with colleagues is not as common or relaxed as in the UK, looking to fit in and understand the local customs","I've just started working at a new office here in the UK, and I've noticed that everyone seems to be quite laid-back and friendly, often inviting each other for a drink after work. Back home, we tend to keep our professional and personal lives separate. I'm trying to get used to this new culture, but I'm a bit unsure of how to navigate these informal social gatherings. Any tips on how to approach these situations and build a good rapport with my colleagues?"
British,in public and school settings,,,parents,refer to their children and others by their child's name,their children and other parents,,,Family Traditions and Heritage,0.6,"[5, 20)","{2022: '[0, 10)'}","In public and school settings within British culture, it is common for parents to refer to their children and others by their child's name, rather than using traditional titles like ""Mr."" or ""Mrs."" when addressing other parents or their children. This practice is observed in interactions within the community and educational environments. While not universally embraced, a significant portion of the sampled population considers this behavior as relatively normal within the British cultural context.",Travel Advising,"A curious American traveler planning a trip to Britain with their family, eager to understand local customs and blend in seamlessly with the locals","I'm planning a family trip to the UK and I'm trying to figure out how to engage with locals, especially parents. I've noticed that people in my hometown tend to address each other using their own names, but I've heard that things might be a bit different over there. Could you give me some tips on how to communicate effectively with British parents, especially when it comes to talking about their kids? I want to make sure I'm being respectful and avoiding any potential faux pas."
British,social interactions and social media,,,people,use slang and specific phrases to describe various stages and experiences of intoxication,,,,Communication and Language,1,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In British social interactions and on social media, it is common for people to use slang and specific phrases to describe different stages and experiences of intoxication. This behavior is widely regarded as a norm within the sampled population. The use of such language reflects the cultural acceptance and integration of alcohol-related terminology into everyday conversations and online interactions. This linguistic practice is considered a standard and widely accepted way of expressing experiences related to intoxication among the British cultural group.",Travel Advising,"A curious and sociable American tourist planning a trip to London, eager to fit in and engage with locals in a friendly manner",I'm heading to London for the first time and I've heard that people there are really friendly and open. I want to make sure I can hold a conversation with locals without sticking out like a sore thumb. What are some common phrases or slang that I should be familiar with when talking about social events or nightlife? I don't want to accidentally offend anyone or sound too formal.
